Step,DiscLoss,DiscAcc,GANLoss,GANAcc
1,0.728140,0.398438,0.625266,1.000000
2,2.219768,0.500000,2.193360,0.000000
3,0.441211,0.914062,0.840980,0.000000
4,0.489909,0.500000,0.691396,0.500000
5,2.183175,0.500000,2.514047,0.000000
6,0.527333,0.882812,0.878837,0.000000
7,0.377841,0.695312,0.806105,0.015625
8,0.714833,0.515625,1.735912,0.000000
9,0.292804,0.992188,0.962270,0.000000
10,0.280612,1.000000,0.937966,0.000000
11,0.324012,0.898438,0.953515,0.000000
12,0.338206,0.820312,1.305637,0.000000
13,0.236122,1.000000,1.190246,0.000000
14,0.212295,1.000000,1.279831,0.000000
15,0.193778,1.000000,1.403845,0.000000
16,0.198016,1.000000,1.569693,0.000000
17,0.212632,1.000000,1.816329,0.000000
18,0.192131,0.984375,1.889031,0.000000
19,0.109719,1.000000,1.873274,0.000000
20,0.103444,1.000000,1.909118,0.000000
21,0.108124,1.000000,2.061085,0.000000
22,0.130917,1.000000,2.984725,0.000000
23,0.075035,1.000000,2.437277,0.000000
24,0.172272,0.953125,4.946618,0.000000
25,0.177655,0.921875,2.475527,0.000000
26,0.086897,1.000000,2.212435,0.000000
27,0.793646,0.648438,5.866190,0.000000
28,0.250531,0.890625,2.804073,0.000000
29,0.043835,1.000000,2.770701,0.000000
30,0.062436,1.000000,2.554412,0.000000
31,1.565501,0.578125,10.122930,0.000000
32,0.571262,0.820312,3.132643,0.000000
33,0.032017,1.000000,3.070519,0.000000
34,0.034504,1.000000,2.998569,0.000000
35,0.041052,1.000000,2.808922,0.000000
36,0.112463,0.984375,2.808621,0.000000
37,1.286585,0.632812,7.790130,0.000000
38,0.285610,0.906250,3.753729,0.000000
39,0.024844,1.000000,3.561249,0.000000
40,0.037305,1.000000,3.257009,0.000000
41,0.485499,0.812500,9.422338,0.000000
42,0.021942,1.000000,3.777664,0.000000
43,0.026815,1.000000,3.562061,0.000000
44,0.049474,1.000000,3.073710,0.000000
45,0.842794,0.703125,8.812537,0.000000
46,0.457607,0.828125,3.645261,0.000000
47,0.089860,0.984375,3.580071,0.000000
48,0.201886,0.929688,5.903795,0.000000
49,0.045309,0.992188,3.500779,0.000000
50,0.176705,0.921875,5.555206,0.000000
51,0.047270,1.000000,5.583166,0.000000
52,0.245637,0.875000,12.078561,0.000000
53,0.043042,0.976562,5.741151,0.000000
54,0.013111,1.000000,4.834593,0.000000
55,0.020868,1.000000,3.970723,0.000000
56,0.261818,0.890625,4.612515,0.000000
57,0.368215,0.828125,7.278912,0.000000
58,0.085687,0.976562,4.143960,0.000000
59,0.586787,0.781250,9.859699,0.078125
60,4.051050,0.351562,10.041459,0.000000
61,0.284343,0.882812,3.303704,0.078125
62,1.199349,0.656250,7.356205,0.109375
63,1.456948,0.609375,2.262023,0.171875
64,0.954273,0.789062,3.344544,0.000000
65,0.896895,0.625000,6.371362,0.218750
66,1.799179,0.578125,3.383935,0.093750
67,0.723963,0.640625,4.972901,0.140625
68,0.927411,0.656250,3.092681,0.109375
69,0.509977,0.734375,3.110006,0.109375
70,0.744205,0.617188,3.198738,0.250000
71,0.803376,0.656250,4.410945,0.109375
72,0.826730,0.640625,2.183935,0.171875
73,0.605764,0.734375,3.578731,0.000000
74,0.407086,0.828125,1.453524,0.187500
75,0.384970,0.875000,4.390781,0.000000
76,0.431697,0.796875,1.416782,0.218750
77,0.473925,0.742188,5.293026,0.125000
78,0.636947,0.695312,3.569914,0.000000
79,0.285729,0.875000,1.918961,0.125000
80,0.364570,0.875000,4.851279,0.000000
81,0.943228,0.492188,8.209316,0.000000
82,1.452874,0.507812,8.054832,0.187500
83,1.842171,0.484375,2.895804,0.015625
84,0.666832,0.710938,3.472524,0.000000
85,1.979614,0.289062,5.736606,0.000000
86,0.745282,0.640625,0.865772,0.437500
87,0.700894,0.585938,10.178065,0.000000
88,0.776422,0.703125,1.815791,0.046875
89,0.678528,0.593750,8.081388,0.000000
90,0.732801,0.710938,4.829139,0.000000
91,0.457879,0.781250,3.649257,0.046875
92,0.463908,0.765625,5.127923,0.015625
93,0.319855,0.843750,3.599562,0.000000
94,0.238657,0.906250,5.831425,0.000000
95,0.141785,0.945312,2.588102,0.000000
96,0.267018,0.875000,7.099165,0.000000
97,0.290278,0.898438,2.572485,0.000000
98,1.391859,0.640625,3.308563,0.203125
99,0.806870,0.609375,3.620328,0.046875
100,1.198268,0.476562,6.973244,0.093750
101,0.956842,0.648438,1.591496,0.343750
102,0.773876,0.679688,3.022116,0.015625
103,0.766130,0.570312,1.075384,0.437500
104,0.791961,0.570312,3.742825,0.000000
105,0.720797,0.562500,1.226709,0.281250
106,0.559791,0.734375,2.423800,0.015625
107,0.601132,0.679688,1.201177,0.265625
108,0.600817,0.632812,3.229977,0.000000
109,0.639823,0.726562,1.062021,0.343750
110,0.875544,0.507812,4.520402,0.000000
111,0.979140,0.640625,1.347617,0.187500
112,0.609328,0.664062,2.499197,0.000000
113,0.496314,0.773438,1.394905,0.187500
114,0.466722,0.796875,3.566680,0.000000
115,0.695604,0.679688,4.451534,0.031250
116,0.916650,0.515625,5.094943,0.000000
117,0.948277,0.648438,1.228141,0.218750
118,0.659999,0.640625,3.274947,0.015625
119,0.504764,0.757812,1.548380,0.156250
120,0.515819,0.734375,2.404685,0.046875
121,0.481658,0.804688,1.654763,0.171875
122,0.428579,0.796875,2.426735,0.015625
123,0.523292,0.773438,1.648721,0.109375
124,0.656954,0.640625,3.431024,0.000000
125,0.665296,0.710938,1.623342,0.031250
126,0.558586,0.726562,2.911224,0.000000
127,0.509183,0.773438,1.572170,0.125000
128,0.574888,0.648438,1.694039,0.000000
129,0.472950,0.796875,2.613924,0.000000
130,0.446229,0.882812,1.353969,0.125000
131,0.455888,0.765625,2.634243,0.000000
132,0.539795,0.703125,0.585309,0.671875
133,0.883890,0.500000,5.554623,0.000000
134,1.390187,0.429688,3.851413,0.000000
135,0.456969,0.757812,1.663442,0.015625
136,0.389461,0.851562,2.072343,0.000000
137,0.426955,0.875000,1.569529,0.046875
138,0.425937,0.859375,1.968243,0.015625
139,0.477644,0.789062,1.268420,0.125000
140,0.450451,0.796875,3.525584,0.000000
141,0.821135,0.593750,2.498387,0.031250
142,0.660075,0.640625,2.427155,0.000000
143,0.530481,0.710938,1.275609,0.250000
144,0.548988,0.726562,2.596471,0.000000
145,0.591144,0.695312,0.901596,0.421875
146,0.597410,0.648438,2.558188,0.000000
147,0.571068,0.695312,1.315836,0.125000
148,0.592993,0.648438,2.096917,0.000000
149,0.466667,0.820312,1.153082,0.156250
150,0.577990,0.648438,3.767819,0.000000
151,0.969073,0.695312,2.579972,0.000000
152,0.460343,0.828125,1.636756,0.015625
153,0.546523,0.734375,1.600442,0.046875
154,0.400665,0.875000,1.469967,0.062500
155,0.459072,0.789062,1.822033,0.015625
156,0.573593,0.765625,2.132580,0.062500
157,0.831300,0.500000,2.597606,0.015625
158,0.774893,0.648438,2.800886,0.000000
159,0.580283,0.710938,2.069058,0.000000
160,0.561191,0.687500,0.898275,0.359375
161,0.545154,0.703125,3.424933,0.000000
162,0.717463,0.585938,0.963353,0.453125
163,0.676913,0.593750,2.014890,0.125000
164,0.585120,0.671875,2.343370,0.031250
165,0.652844,0.585938,1.881235,0.093750
166,0.522800,0.750000,1.604201,0.015625
167,0.561560,0.710938,2.186304,0.093750
168,0.615417,0.703125,1.752887,0.015625
169,0.551393,0.703125,2.078231,0.000000
170,0.579917,0.710938,1.548516,0.156250
171,0.588121,0.679688,1.705833,0.046875
172,0.579422,0.742188,2.505979,0.000000
173,0.593943,0.734375,1.635046,0.046875
174,0.507351,0.726562,1.903616,0.000000
175,0.553686,0.781250,0.976334,0.234375
176,0.573975,0.695312,3.098154,0.000000
177,0.748344,0.570312,0.908405,0.343750
178,0.662489,0.601562,2.417254,0.015625
179,0.741204,0.601562,4.213769,0.093750
180,3.536765,0.304688,6.891296,0.000000
181,0.937173,0.679688,1.092157,0.093750
182,0.903407,0.593750,3.465500,0.000000
183,0.673277,0.687500,1.018255,0.375000
184,0.712975,0.593750,1.436192,0.140625
185,0.638799,0.671875,1.405264,0.140625
186,0.654653,0.632812,1.722634,0.078125
187,0.688364,0.578125,1.050457,0.265625
188,0.671564,0.625000,1.223134,0.203125
189,0.605364,0.648438,1.644252,0.031250
190,0.629050,0.609375,0.925181,0.453125
191,0.880827,0.460938,3.394701,0.000000
192,1.013974,0.546875,1.041735,0.203125
193,0.584476,0.734375,1.210370,0.187500
194,0.672664,0.585938,1.240845,0.140625
195,0.602418,0.671875,1.361111,0.078125
196,0.560829,0.742188,1.225730,0.125000
197,0.568710,0.726562,1.429887,0.000000
198,0.671871,0.578125,0.887493,0.312500
199,0.654074,0.656250,1.992227,0.062500
200,0.729777,0.539062,1.388184,0.328125
201,0.768807,0.531250,1.776902,0.031250
202,0.741952,0.562500,0.925086,0.250000
203,0.691821,0.523438,1.811771,0.062500
204,0.700375,0.640625,1.646978,0.078125
205,0.642267,0.632812,0.928220,0.296875
206,0.669221,0.640625,1.500339,0.062500
207,0.609363,0.679688,1.240789,0.203125
208,0.946947,0.484375,3.394421,0.031250
209,1.337564,0.382812,3.301255,0.000000
210,0.893938,0.593750,0.742719,0.437500
211,0.721085,0.531250,1.285365,0.078125
212,0.564906,0.726562,1.096755,0.140625
213,0.656960,0.632812,1.225609,0.203125
214,0.661453,0.640625,1.261459,0.109375
215,0.629124,0.695312,1.069492,0.171875
216,0.678300,0.617188,1.348047,0.015625
217,0.669903,0.585938,1.087332,0.109375
218,0.717936,0.546875,1.257980,0.062500
219,0.670630,0.585938,1.149058,0.171875
220,0.655362,0.632812,1.288717,0.078125
221,0.691666,0.578125,2.330070,0.000000
222,1.006803,0.429688,2.421210,0.015625
223,0.834091,0.554688,1.832935,0.000000
224,0.690541,0.593750,0.923901,0.296875
225,0.610893,0.632812,1.403750,0.015625
226,0.595213,0.703125,0.929970,0.359375
227,0.694028,0.617188,2.086203,0.046875
228,0.822337,0.414062,1.052004,0.250000
229,0.761791,0.414062,1.935363,0.000000
230,0.743308,0.531250,0.800686,0.484375
231,0.827117,0.468750,2.236383,0.000000
232,0.862360,0.562500,0.882775,0.296875
233,0.661622,0.593750,1.217187,0.156250
234,0.657867,0.640625,1.062134,0.156250
235,0.685001,0.585938,1.620430,0.093750
236,0.754795,0.523438,0.847163,0.390625
237,0.767557,0.484375,1.733677,0.000000
238,0.717709,0.562500,1.115068,0.156250
239,0.715234,0.632812,1.505301,0.015625
240,0.677693,0.539062,1.102799,0.125000
241,0.635608,0.632812,1.335038,0.031250
242,0.713600,0.585938,1.589683,0.062500
243,0.791126,0.476562,1.837585,0.000000
244,0.739907,0.546875,0.863591,0.312500
245,0.646787,0.648438,1.607665,0.000000
246,0.697381,0.578125,0.638986,0.656250
247,0.782061,0.492188,1.876983,0.046875
248,0.918687,0.515625,1.939561,0.125000
249,1.249004,0.398438,1.878690,0.000000
250,0.683036,0.664062,1.021722,0.140625
251,0.633998,0.656250,1.042960,0.125000
