Step,DiscLoss,DiscAcc,GANLoss,GANAcc
1,0.254897,0.679688,0.793174,0.000000
2,0.005873,0.000000,0.249007,1.000000
3,0.005798,0.000000,0.100429,1.000000
4,0.005728,0.000000,0.111329,1.000000
5,0.005658,0.000000,0.110642,1.000000
6,0.005598,0.000000,0.113538,1.000000
7,0.005531,0.000000,0.113906,1.000000
8,0.005466,0.000000,0.114040,1.000000
9,0.005493,0.000000,0.161888,1.000000
10,0.005371,0.000000,0.175661,1.000000
11,0.005270,0.000000,0.167495,1.000000
12,0.005201,0.000000,0.161420,1.000000
13,0.005152,0.000000,0.169479,1.000000
14,0.005130,0.000000,0.188094,1.000000
15,0.005119,0.000000,0.149865,1.000000
16,0.004938,0.000000,0.173274,1.000000
17,0.004867,0.000000,0.217516,1.000000
18,0.004800,0.000000,0.149962,1.000000
19,0.004841,0.000000,0.198083,1.000000
20,0.004663,0.000000,0.172356,1.000000
21,0.004587,0.000000,0.132067,1.000000
22,0.004526,0.000000,0.130859,1.000000
23,0.004444,0.000000,0.142720,1.000000
24,0.004363,0.000000,0.168590,1.000000
25,0.004295,0.000000,0.140054,1.000000
26,0.004211,0.000000,0.113506,1.000000
27,0.004133,0.000000,0.097884,1.000000
28,0.004054,0.000000,0.091428,1.000000
29,0.003997,0.000000,0.093964,1.000000
30,0.004083,0.000000,0.166248,1.000000
31,0.003849,0.000000,0.199553,1.000000
32,0.003757,0.039062,0.397146,0.937500
33,0.003674,0.000000,0.509034,1.000000
34,0.003589,0.000000,0.238501,1.000000
35,0.003518,0.000000,0.191612,1.000000
36,0.003446,0.000000,0.152082,1.000000
37,0.003353,0.000000,0.150216,1.000000
38,0.003334,0.000000,0.212176,1.000000
39,0.003200,0.000000,0.229933,1.000000
40,0.003121,0.000000,0.213635,1.000000
41,0.003085,0.000000,0.270552,1.000000
42,0.002955,0.031250,0.346218,0.937500
43,0.002873,0.000000,0.517835,1.000000
44,0.002845,0.015625,0.537538,0.765625
45,0.002723,0.015625,0.513482,1.000000
46,0.002636,0.023438,0.390729,0.906250
47,0.002558,0.000000,0.294863,1.000000
48,0.002487,0.007812,0.267254,0.968750
49,0.002414,0.000000,0.318288,1.000000
50,0.002323,0.070312,0.391200,0.906250
51,0.002244,0.007812,0.552403,0.937500
52,0.002174,0.000000,0.293077,1.000000
53,0.002120,0.000000,0.274955,1.000000
54,0.002021,0.000000,0.198167,1.000000
55,0.001943,0.000000,0.177007,1.000000
56,0.001873,0.000000,0.173724,1.000000
57,0.001816,0.000000,0.160378,1.000000
58,0.001733,0.000000,0.236687,1.000000
59,0.001675,0.132812,0.434014,0.828125
60,0.001615,0.046875,0.648348,0.734375
61,0.001569,0.007812,1.069936,0.046875
62,0.001473,0.015625,0.403922,0.953125
63,0.001405,0.085938,0.420530,0.859375
64,0.001349,0.023438,0.497376,0.937500
65,0.001295,0.062500,0.317804,0.953125
66,0.001222,0.000000,0.336732,1.000000
67,0.001164,0.000000,0.243045,1.000000
68,0.001114,0.000000,0.199529,1.000000
69,0.001053,0.000000,0.183507,1.000000
70,0.001017,0.000000,0.174241,1.000000
71,0.000955,0.000000,0.178530,1.000000
72,0.000904,0.000000,0.191269,1.000000
73,0.000865,0.000000,0.181126,1.000000
74,0.000810,0.000000,0.199486,1.000000
75,0.000767,0.000000,0.217674,1.000000
76,0.000722,0.000000,0.277327,1.000000
77,0.000682,0.000000,0.273079,1.000000
78,0.000648,0.453125,0.950832,0.078125
79,0.000603,0.500000,2.089883,0.031250
80,0.000583,0.500000,1.407894,0.000000
