Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
1,0.779324,0.218750,0.799633,0.000000,0.795834,0.000000
2,0.005954,1.000000,5.723202,0.000000,4.849713,0.000000
3,1.550993,0.640625,0.603883,1.000000,0.870077,0.000000
4,0.059386,0.984375,0.792871,0.031250,0.791592,0.015625
5,0.007173,1.000000,1.833074,0.000000,2.155777,0.000000
6,0.083033,0.968750,0.567398,1.000000,0.916629,0.000000
7,0.011960,1.000000,0.574989,1.000000,0.968455,0.000000
8,0.011375,1.000000,0.651175,0.703125,1.175432,0.000000
9,0.015631,1.000000,0.623681,0.812500,1.179501,0.000000
10,0.009067,1.000000,0.897557,0.218750,2.286125,0.000000
11,0.366636,0.828125,0.386987,1.000000,1.256744,0.000000
12,0.006670,1.000000,0.412369,1.000000,1.293990,0.000000
13,0.006191,1.000000,0.542006,0.875000,1.599491,0.000000
14,0.006328,1.000000,0.376914,1.000000,2.527492,0.000000
15,0.008531,1.000000,0.199498,1.000000,1.922277,0.000000
16,0.010937,1.000000,0.183127,1.000000,2.037628,0.000000
17,0.010901,1.000000,0.187870,1.000000,2.235573,0.000000
18,0.015308,1.000000,0.389341,0.890625,4.792822,0.000000
19,0.122498,0.937500,0.097867,1.000000,2.580989,0.000000
20,0.006331,1.000000,0.127379,1.000000,2.369066,0.000000
21,0.009024,1.000000,2.484621,0.078125,4.820685,0.000000
22,0.032271,0.984375,0.044818,1.000000,3.377570,0.000000
23,0.015347,1.000000,0.058632,1.000000,3.169002,0.000000
24,0.008153,1.000000,0.914839,0.609375,6.902317,0.000000
25,0.012602,1.000000,0.023658,1.000000,4.089606,0.000000
26,0.007027,1.000000,0.026279,1.000000,3.968862,0.000000
27,0.011117,1.000000,0.030869,1.000000,3.827331,0.000000
28,0.006752,1.000000,0.093785,1.000000,3.237316,0.000000
29,0.006357,1.000000,12.712270,0.109375,5.332269,0.000000
30,0.018353,1.000000,0.092220,1.000000,14.562809,0.000000
31,0.009240,1.000000,0.013013,1.000000,5.895450,0.000000
32,0.017719,1.000000,10.878823,0.171875,8.010656,0.078125
33,0.098524,0.953125,1.676508,0.437500,12.576675,0.031250
34,0.155509,0.921875,4.601516,0.203125,6.919949,0.000000
35,0.087008,0.968750,2.915069,0.437500,8.225329,0.000000
36,0.064899,0.968750,1.281625,0.703125,4.238897,0.000000
37,0.087889,0.984375,7.718004,0.281250,10.240187,0.000000
38,0.794204,0.640625,0.027879,0.984375,5.285557,0.000000
39,0.006879,1.000000,0.281504,0.859375,7.051754,0.015625
40,0.012501,1.000000,0.834886,0.734375,11.532795,0.000000
41,0.015298,1.000000,0.042926,1.000000,5.910037,0.000000
42,0.007420,1.000000,1.600947,0.546875,11.100486,0.000000
43,0.071883,0.968750,0.034775,0.984375,6.008629,0.000000
44,0.015550,1.000000,0.473425,0.796875,6.935512,0.046875
45,0.015879,1.000000,1.097112,0.640625,13.213778,0.000000
46,0.516323,0.781250,0.006461,1.000000,7.929093,0.000000
47,0.059484,0.968750,0.007413,1.000000,6.344642,0.000000
48,0.020633,0.984375,0.010044,1.000000,5.575844,0.000000
49,0.009508,1.000000,0.889487,0.765625,7.968365,0.000000
50,0.014540,1.000000,0.008797,1.000000,6.707934,0.000000
51,0.009597,1.000000,0.119174,0.921875,8.876365,0.000000
52,0.066388,0.984375,0.033283,1.000000,6.963575,0.000000
53,0.035934,0.984375,1.258603,0.640625,13.076091,0.015625
54,0.627383,0.843750,1.063197,0.843750,14.054481,0.000000
55,0.036606,0.984375,0.711010,0.859375,7.677336,0.000000
56,0.006557,1.000000,6.657585,0.375000,12.054301,0.000000
57,0.321687,0.843750,0.011231,1.000000,10.794620,0.000000
58,0.006676,1.000000,0.012287,1.000000,7.451518,0.000000
59,0.006127,1.000000,0.036869,1.000000,6.106079,0.000000
60,0.008917,1.000000,0.013771,1.000000,6.054173,0.000000
61,0.009073,1.000000,0.020326,1.000000,5.863034,0.000000
62,0.012926,1.000000,0.515029,0.750000,14.651688,0.000000
63,2.945068,0.531250,0.101046,0.968750,6.889817,0.000000
64,0.015387,1.000000,2.434764,0.343750,12.360235,0.062500
65,4.647067,0.484375,3.238602,0.656250,13.864470,0.000000
66,2.855409,0.421875,3.596805,0.453125,6.012827,0.078125
67,1.541719,0.484375,4.826861,0.203125,11.193172,0.265625
68,3.448959,0.343750,2.770330,0.703125,4.146730,0.625000
69,0.988150,0.718750,1.936897,0.312500,10.462898,0.250000
70,2.440842,0.375000,1.028898,0.765625,3.821134,0.109375
71,0.717444,0.687500,1.139984,0.671875,3.494442,0.515625
72,0.930847,0.718750,0.801893,0.687500,11.457150,0.109375
73,1.675527,0.437500,0.747490,0.796875,5.042378,0.093750
74,0.428313,0.765625,0.519502,0.796875,4.413145,0.109375
75,0.533336,0.859375,0.475819,0.796875,4.259484,0.062500
76,0.708783,0.718750,0.902950,0.687500,3.918516,0.046875
77,0.490952,0.812500,0.734880,0.796875,7.390003,0.015625
78,0.926153,0.562500,0.079318,0.968750,5.453014,0.000000
79,0.275309,0.859375,1.629779,0.078125,10.296473,0.078125
80,0.930617,0.640625,1.299031,0.640625,3.163795,0.031250
81,0.842419,0.671875,1.519273,0.515625,8.311226,0.171875
82,0.868988,0.671875,0.585235,0.734375,3.552562,0.000000
83,0.696910,0.656250,0.715404,0.671875,3.372747,0.000000
84,0.630588,0.703125,0.745322,0.640625,4.577478,0.000000
85,0.754237,0.562500,2.529860,0.437500,7.080635,0.218750
86,1.145361,0.671875,0.173312,0.953125,4.425822,0.000000
87,0.306583,0.859375,0.342103,0.859375,3.869740,0.000000
88,0.306421,0.859375,0.671297,0.609375,4.350125,0.000000
89,0.645817,0.656250,0.691402,0.578125,8.363920,0.187500
90,1.221356,0.609375,0.193185,0.953125,3.118921,0.000000
91,0.277809,0.906250,0.867597,0.546875,4.583867,0.078125
92,0.755200,0.640625,0.450437,0.796875,5.376545,0.000000
93,0.647850,0.734375,0.624809,0.718750,3.539196,0.578125
94,0.912448,0.781250,2.025069,0.312500,10.520991,0.140625
95,2.476062,0.500000,0.686988,0.765625,3.509028,0.000000
96,0.605603,0.671875,0.599585,0.734375,5.580356,0.000000
97,0.814759,0.546875,0.375921,0.890625,4.819026,0.015625
98,0.805942,0.656250,0.394180,0.828125,3.665427,0.000000
99,0.416074,0.890625,0.327860,0.890625,3.253374,0.000000
100,0.386781,0.765625,0.505711,0.718750,3.285049,0.000000
101,0.535668,0.734375,0.463320,0.828125,3.545853,0.000000
102,0.723770,0.640625,0.825496,0.640625,3.578492,0.093750
