Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
1,0.662953,0.625000,0.850073,0.000000,0.782585,0.000000
2,0.005983,1.000000,7.226605,0.000000,3.708942,0.000000
3,1.463952,0.562500,0.664093,1.000000,0.813095,0.000000
4,0.006673,1.000000,0.920033,0.000000,0.826944,0.015625
5,0.010945,1.000000,1.411432,0.000000,1.925935,0.000000
6,0.037795,1.000000,2.038327,0.000000,1.378997,0.000000
7,0.023521,1.000000,0.563362,1.000000,0.913774,0.000000
8,0.011793,1.000000,0.732235,0.437500,0.901507,0.000000
9,0.012368,1.000000,1.706047,0.015625,2.404365,0.000000
10,0.083010,0.984375,0.417011,1.000000,1.270951,0.000000
11,0.016256,1.000000,0.390384,1.000000,1.263818,0.000000
12,0.012510,1.000000,0.404975,1.000000,1.285717,0.000000
13,0.015089,1.000000,0.526138,0.875000,1.678714,0.000000
14,0.083890,1.000000,0.294813,1.000000,1.575867,0.000000
15,0.010173,1.000000,0.301459,1.000000,1.919344,0.000000
16,0.016193,1.000000,0.196069,1.000000,2.134055,0.000000
17,0.034697,1.000000,0.156026,1.000000,2.285983,0.000000
18,0.010363,1.000000,0.139734,1.000000,2.355664,0.000000
19,0.010837,1.000000,0.272276,0.953125,4.755898,0.000000
20,0.694452,0.656250,0.054095,1.000000,3.518431,0.000000
21,0.013603,1.000000,0.103845,1.000000,2.553577,0.000000
22,0.010598,1.000000,0.134343,1.000000,2.402657,0.000000
23,0.047890,0.984375,3.120854,0.000000,6.110996,0.000000
24,0.852313,0.750000,0.140059,1.000000,2.447313,0.000000
25,0.006237,1.000000,0.757744,0.515625,4.945515,0.000000
26,0.015810,1.000000,0.036412,1.000000,3.578591,0.000000
27,0.021201,1.000000,0.041149,1.000000,3.446021,0.000000
28,0.038269,0.984375,0.051475,1.000000,3.224533,0.000000
29,0.016553,1.000000,0.160009,1.000000,3.221986,0.000000
30,0.007777,1.000000,1.048798,0.500000,13.808978,0.000000
31,0.358735,0.875000,0.032901,1.000000,3.725656,0.000000
32,0.011214,1.000000,0.078071,1.000000,2.974928,0.000000
33,0.015774,1.000000,13.459615,0.000000,3.981153,0.000000
34,0.013930,1.000000,0.386885,0.921875,16.043188,0.000000
35,0.881263,0.765625,0.005971,1.000000,8.325634,0.000000
36,0.018353,1.000000,0.026262,1.000000,4.032062,0.000000
37,0.022290,1.000000,1.172139,0.421875,10.348284,0.000000
38,1.686972,0.578125,0.028127,1.000000,3.896224,0.000000
39,0.012910,1.000000,0.038523,1.000000,3.653444,0.000000
40,0.008805,1.000000,0.094035,1.000000,2.918937,0.000000
41,0.010521,1.000000,1.485282,0.375000,8.192679,0.000000
42,0.064526,0.984375,0.266530,0.875000,4.606249,0.000000
