Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
1,0.550625,0.750000,0.738550,0.500000,0.810413,0.343750
2,0.593142,0.708333,0.596518,0.718750,1.051550,0.041667
3,0.671975,0.593750,0.595376,0.708333,1.029606,0.166667
4,0.608716,0.666667,0.690792,0.562500,1.168462,0.156250
5,0.596241,0.614583,0.477519,0.791667,1.158231,0.250000
6,0.597144,0.656250,0.587606,0.697917,1.118979,0.218750
7,0.625698,0.625000,0.604683,0.729167,1.164069,0.208333
8,0.656055,0.625000,0.584624,0.666667,0.988037,0.270833
9,0.476333,0.812500,0.568632,0.687500,1.259934,0.072917
10,0.408016,0.822917,0.435187,0.802083,1.483236,0.187500
11,0.435699,0.812500,0.536457,0.770833,1.190901,0.260417
12,0.345673,0.833333,0.598307,0.656250,1.335625,0.187500
13,0.156427,1.000000,0.510196,0.729167,1.532764,0.125000
14,0.733479,0.572917,0.493877,0.791667,1.361838,0.208333
15,0.285393,0.906250,0.583164,0.729167,1.365178,0.177083
16,0.422185,0.791667,0.471197,0.812500,1.215769,0.177083
17,0.364889,0.854167,0.642454,0.687500,1.267186,0.177083
18,0.235875,0.947917,0.513783,0.760417,1.559255,0.125000
19,0.394229,0.822917,0.458183,0.875000,1.281776,0.239583
20,0.372936,0.885417,0.431896,0.833333,1.250320,0.177083
21,0.244933,0.916667,0.533742,0.770833,1.558492,0.125000
22,0.508801,0.750000,0.512395,0.760417,1.300701,0.270833
23,0.547984,0.687500,0.668877,0.656250,1.206167,0.166667
24,0.569063,0.687500,0.567032,0.729167,1.162778,0.239583
25,0.492751,0.770833,0.516557,0.750000,1.231132,0.208333
26,0.425795,0.822917,0.514089,0.750000,1.180971,0.312500
27,0.470956,0.802083,0.573525,0.729167,1.253799,0.187500
28,0.490534,0.697917,0.474469,0.781250,1.218851,0.197917
29,0.506664,0.708333,0.634545,0.677083,1.076114,0.291667
30,0.425197,0.822917,0.488762,0.750000,1.426434,0.125000
31,0.342364,0.885417,0.499898,0.812500,1.260935,0.229167
32,0.379062,0.885417,0.509582,0.843750,1.269958,0.166667
33,0.273114,0.947917,0.524715,0.802083,1.284096,0.218750
34,0.310809,0.927083,0.510885,0.843750,1.306979,0.166667
35,0.324719,0.906250,0.621919,0.677083,1.199254,0.229167
36,0.300680,0.875000,0.534196,0.739583,1.261339,0.197917
37,0.414665,0.791667,0.474925,0.822917,1.162116,0.229167
38,0.489882,0.718750,0.494590,0.791667,1.132084,0.187500
39,0.523142,0.729167,0.457224,0.843750,1.302010,0.208333
40,0.320616,0.906250,0.551584,0.833333,1.196092,0.229167
41,0.457893,0.791667,0.478788,0.833333,1.141743,0.218750
42,0.432097,0.812500,0.520768,0.729167,1.322711,0.104167
43,0.423898,0.781250,0.536541,0.770833,1.392372,0.166667
44,0.466842,0.791667,0.539252,0.812500,1.233132,0.187500
45,0.336614,0.854167,0.525120,0.750000,1.240800,0.208333
46,0.357911,0.854167,0.525911,0.760417,1.231060,0.156250
47,0.323608,0.895833,0.523731,0.781250,1.290541,0.145833
48,0.351455,0.864583,0.583654,0.750000,1.181198,0.218750
49,0.419815,0.822917,0.580335,0.677083,1.155272,0.218750
50,0.560967,0.697917,0.571504,0.708333,1.485566,0.156250
51,0.351688,0.854167,0.528249,0.739583,1.311245,0.197917
52,0.365718,0.906250,0.475365,0.791667,1.251656,0.177083
53,0.361591,0.854167,0.475512,0.781250,1.364901,0.145833
54,0.284562,0.916667,0.515087,0.739583,1.254462,0.177083
55,0.491358,0.760417,0.619838,0.677083,1.070954,0.312500
56,0.383305,0.843750,0.450094,0.802083,1.316949,0.208333
57,0.447249,0.843750,0.490672,0.843750,1.126458,0.260417
58,0.346570,0.875000,0.573417,0.687500,1.224776,0.229167
59,0.351301,0.833333,0.639676,0.677083,1.331240,0.218750
60,0.435735,0.802083,0.516345,0.760417,1.212094,0.166667
61,0.409304,0.833333,0.537276,0.770833,1.251481,0.218750
62,0.320990,0.885417,0.494873,0.781250,1.278506,0.145833
63,0.494685,0.739583,0.547259,0.750000,1.167771,0.239583
64,0.353602,0.854167,0.554573,0.687500,1.256480,0.229167
65,0.374800,0.854167,0.481378,0.791667,1.264622,0.270833
66,0.373458,0.822917,0.488202,0.802083,1.353561,0.135417
67,0.542054,0.697917,0.524863,0.729167,1.267295,0.114583
68,0.466555,0.760417,0.481398,0.781250,1.392248,0.125000
69,0.436923,0.802083,0.609805,0.677083,1.166658,0.229167
