Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
1,0.802750,0.239583,0.712208,0.427083,0.702797,0.458333
2,0.652891,0.562500,0.721600,0.385417,0.738351,0.364583
3,0.671047,0.666667,0.687425,0.625000,0.713297,0.437500
4,0.774067,0.291667,0.708727,0.510417,0.721421,0.364583
5,0.761762,0.354167,0.692573,0.520833,0.761327,0.281250
6,0.653417,0.687500,0.715633,0.489583,0.694926,0.531250
7,0.748998,0.333333,0.649674,0.687500,0.750898,0.312500
8,0.604489,0.791667,0.713355,0.489583,0.708505,0.416667
9,0.786019,0.229167,0.717572,0.395833,0.706243,0.479167
10,0.552753,0.927083,0.678738,0.593750,0.773146,0.302083
11,0.879843,0.145833,0.732233,0.520833,0.693905,0.531250
12,0.768491,0.333333,0.746079,0.343750,0.663798,0.593750
13,0.694181,0.562500,0.703590,0.479167,0.711598,0.437500
14,0.673724,0.552083,0.610928,0.781250,0.833099,0.135417
15,0.848820,0.208333,0.761576,0.375000,0.666164,0.625000
16,0.712203,0.458333,0.748142,0.364583,0.678184,0.645833
17,0.496868,0.947917,0.697213,0.520833,0.724268,0.489583
18,0.715914,0.468750,0.692184,0.541667,0.725463,0.395833
19,0.764209,0.375000,0.673146,0.531250,0.785251,0.343750
20,0.702945,0.531250,0.792416,0.437500,0.636796,0.677083
21,0.655923,0.635417,0.718853,0.447917,0.703736,0.510417
22,0.700965,0.500000,0.594665,0.895833,0.816508,0.072917
23,0.803214,0.302083,0.613566,0.802083,0.826099,0.145833
24,0.792717,0.270833,0.846465,0.239583,0.641158,0.625000
25,0.548259,0.875000,0.669998,0.583333,0.773615,0.406250
26,0.421281,0.968750,0.642772,0.687500,0.749902,0.437500
27,0.721813,0.479167,0.661873,0.645833,0.739156,0.364583
28,0.790696,0.291667,0.607897,0.718750,0.852170,0.250000
29,0.643100,0.656250,0.732329,0.437500,0.679256,0.552083
30,0.682409,0.583333,0.665330,0.614583,0.773111,0.281250
31,0.728579,0.406250,0.539076,0.875000,0.907495,0.093750
32,0.742772,0.416667,0.715669,0.447917,0.707978,0.552083
