Step,DiscLoss,DiscAcc,GANLoss,GANAcc
1,0.250373,0.562500,8.316998,0.000000
2,0.006012,0.500000,3.897332,0.000000
3,0.005880,0.500000,4.864112,0.000000
4,0.005897,0.500000,5.478756,0.000000
5,0.005827,0.500000,3.451711,0.000000
6,0.005696,0.500000,2.780650,0.000000
7,0.005664,0.500000,3.047294,0.000000
8,0.005643,0.500000,2.781084,0.000000
9,0.005518,0.500000,2.182961,0.046875
10,0.005519,0.500000,2.267712,0.203125
11,0.005382,0.484375,1.755922,0.109375
12,0.005465,0.437500,2.309988,0.218750
13,0.005716,0.351562,1.735876,0.140625
14,0.005206,0.406250,1.430333,0.453125
15,0.005143,0.445312,0.952935,0.484375
16,0.005076,0.132812,0.619399,0.734375
17,0.005019,0.054688,0.295413,0.906250
18,0.004951,0.015625,0.157184,0.984375
19,0.004945,0.007812,0.108600,0.984375
20,0.004810,0.007812,0.092684,0.984375
21,0.004763,0.000000,0.109144,0.984375
22,0.004674,0.000000,0.066097,1.000000
23,0.004605,0.000000,0.066266,1.000000
24,0.004554,0.000000,0.070364,1.000000
25,0.004502,0.000000,0.115306,0.984375
26,0.004403,0.000000,0.166771,1.000000
27,0.004317,0.382812,0.167532,0.984375
28,0.004239,0.101562,0.088319,1.000000
29,0.004222,0.015625,0.163969,0.984375
30,0.004092,0.078125,0.162985,0.984375
31,0.004083,0.484375,0.400088,0.890625
32,0.003992,0.445312,0.281230,0.968750
33,0.003862,0.250000,0.438684,0.875000
34,0.003839,0.218750,0.185292,0.984375
35,0.003708,0.007812,0.151275,0.984375
36,0.003631,0.007812,0.101594,1.000000
37,0.003574,0.007812,0.128350,0.968750
38,0.003476,0.000000,0.087344,1.000000
39,0.003394,0.000000,0.091286,1.000000
40,0.003310,0.000000,0.090247,1.000000
41,0.003230,0.000000,0.079777,1.000000
42,0.003162,0.000000,0.077145,1.000000
43,0.003077,0.000000,0.069930,1.000000
44,0.002999,0.000000,0.070013,1.000000
45,0.002918,0.000000,0.062348,1.000000
46,0.002874,0.000000,0.098635,1.000000
47,0.002771,0.007812,0.119864,1.000000
48,0.002686,0.015625,0.217491,1.000000
49,0.002638,0.500000,1.394735,0.046875
50,0.002530,0.500000,1.522267,0.281250
51,0.002454,0.265625,0.485025,0.875000
52,0.002373,0.484375,0.696858,0.640625
53,0.002296,0.500000,1.010945,0.609375
54,0.002225,0.093750,0.396303,0.890625
55,0.002146,0.015625,0.293819,0.921875
56,0.002076,0.000000,0.192583,0.984375
57,0.002002,0.023438,0.191295,0.968750
58,0.001936,0.015625,0.136247,1.000000
59,0.001855,0.000000,0.144257,1.000000
60,0.001790,0.015625,0.138762,1.000000
61,0.001739,0.007812,0.097102,1.000000
62,0.001663,0.000000,0.083821,1.000000
63,0.001586,0.000000,0.086454,1.000000
64,0.001533,0.000000,0.097343,1.000000
65,0.001463,0.000000,0.108885,1.000000
66,0.001400,0.000000,0.115005,1.000000
67,0.001341,0.000000,0.119012,1.000000
68,0.001277,0.000000,0.142849,1.000000
69,0.001229,0.000000,0.159540,1.000000
70,0.001164,0.000000,0.176028,1.000000
71,0.001111,0.007812,0.194685,1.000000
72,0.001072,0.015625,0.350004,1.000000
73,0.001015,0.453125,0.396539,0.937500
74,0.000955,0.500000,0.642030,0.734375
75,0.000915,0.007812,0.249301,0.984375
76,0.000858,0.000000,0.258295,0.984375
77,0.000817,0.007812,0.256524,1.000000
78,0.000775,0.000000,0.292018,1.000000
79,0.000725,0.039062,0.329937,1.000000
80,0.000691,0.007812,0.220464,1.000000
81,0.000651,0.000000,0.400008,1.000000
82,0.000613,0.000000,0.363307,1.000000
83,0.000573,0.000000,0.418721,1.000000
84,0.000537,0.000000,0.507371,1.000000
85,0.000514,0.070312,0.612812,0.859375
86,0.000479,0.218750,0.923311,0.000000
87,0.000455,0.500000,1.527536,0.000000
